2016-08-12 19:52:44,533 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-12 19:52:44,540 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-12 19:52:44,549 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DavidHusen\workspace\Check\SimpleApp\src\test\resources
2016-08-12 19:52:44,549 [Worker-1] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SimpleApp
2016-08-12 19:52:44,554 [Worker-1] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SimpleApp
2016-08-12 19:52:44,561 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-12 19:52:45,745 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-12 19:52:45,753 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-12 19:52:45,755 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-12 19:52:45,760 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DavidHusen\workspace\Check\SimpleApp\src\test\resources
2016-08-12 19:57:23,165 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.youtube:SimpleApp:0.1 @ C:\Users\DavidHusen\workspace\Check\SimpleApp\pom.xml.
2016-08-12 19:57:24,347 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-12 19:57:24,359 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-12 19:57:24,362 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-12 19:57:24,372 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DavidHusen\workspace\Check\SimpleApp\src\test\resources
2016-08-12 19:57:24,372 [Worker-17] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SimpleApp
2016-08-12 19:57:24,376 [Worker-17] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SimpleApp
2016-08-12 19:57:24,382 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
